name	permalink	homepage_url	category_list	funding_total_usd	status	country_code	state_code	region	city	funding_rounds	founded_at	first_funding_at	last_funding_at	investor	unedited_categories	raised_amount_usd
Aerospike	/organization/aerospike	http://www.aerospike.com	Analytics|Big Data|Databases|Real Time	22000000	operating	USA	CA	SF Bay Area	Mountain View	3	2009-02-25	2011-03-30	2014-06-24	Alsop Louie Partners	Analytics|Auctions|Big Data|Databases|Real Time	
Aerospike	/organization/aerospike	http://www.aerospike.com	Analytics|Big Data|Databases|Real Time	22000000	operating	USA	CA	SF Bay Area	Mountain View	3	2009-02-25	2011-03-30	2014-06-24	Alsop Louie Partners	Analytics|Auctions|Big Data|Databases|Real Time	20000000
Aerospike	/organization/aerospike	http://www.aerospike.com	Analytics|Big Data|Databases|Real Time	22000000	operating	USA	CA	SF Bay Area	Mountain View	3	2009-02-25	2011-03-30	2014-06-24	Columbus Nova Technology Partners	Analytics|Auctions|Big Data|Databases|Real Time	20000000
Aerospike	/organization/aerospike	http://www.aerospike.com	Analytics|Big Data|Databases|Real Time	22000000	operating	USA	CA	SF Bay Area	Mountain View	3	2009-02-25	2011-03-30	2014-06-24	Draper Associates	Analytics|Auctions|Big Data|Databases|Real Time	
Aerospike	/organization/aerospike	http://www.aerospike.com	Analytics|Big Data|Databases|Real Time	22000000	operating	USA	CA	SF Bay Area	Mountain View	3	2009-02-25	2011-03-30	2014-06-24	New Enterprise Associates	Analytics|Auctions|Big Data|Databases|Real Time	
Aerospike	/organization/aerospike	http://www.aerospike.com	Analytics|Big Data|Databases|Real Time	22000000	operating	USA	CA	SF Bay Area	Mountain View	3	2009-02-25	2011-03-30	2014-06-24	New Enterprise Associates	Analytics|Auctions|Big Data|Databases|Real Time	20000000
Aerospike	/organization/aerospike	http://www.aerospike.com	Analytics|Big Data|Databases|Real Time	22000000	operating	USA	CA	SF Bay Area	Mountain View	3	2009-02-25	2011-03-30	2014-06-24	Regis McKenna	Analytics|Auctions|Big Data|Databases|Real Time	20000000
Airtable	/organization/airtable	https://airtable.com/	Visualization|Mobile	10600000	operating	USA	CA	SF Bay Area	San Francisco	3	2012-01-01	2013-03-18	2015-06-29	Amitt Mahajan	Business Productivity|Data Visualization|Mobile|Productivity Software|Software	3000000
Airtable	/organization/airtable	https://airtable.com/	Visualization|Mobile	10600000	operating	USA	CA	SF Bay Area	San Francisco	3	2012-01-01	2013-03-18	2015-06-29	Ashton Kutcher	Business Productivity|Data Visualization|Mobile|Productivity Software|Software	3000000
Airtable	/organization/airtable	https://airtable.com/	Visualization|Mobile	10600000	operating	USA	CA	SF Bay Area	San Francisco	3	2012-01-01	2013-03-18	2015-06-29	Ashton Kutcher	Business Productivity|Data Visualization|Mobile|Productivity Software|Software	7600000
Airtable	/organization/airtable	https://airtable.com/	Visualization|Mobile	10600000	operating	USA	CA	SF Bay Area	San Francisco	3	2012-01-01	2013-03-18	2015-06-29	Benjamin Ling	Business Productivity|Data Visualization|Mobile|Productivity Software|Software	3000000
Airtable	/organization/airtable	https://airtable.com/	Visualization|Mobile	10600000	operating	USA	CA	SF Bay Area	San Francisco	3	2012-01-01	2013-03-18	2015-06-29	BoxGroup	Business Productivity|Data Visualization|Mobile|Productivity Software|Software	3000000
Airtable	/organization/airtable	https://airtable.com/	Visualization|Mobile	10600000	operating	USA	CA	SF Bay Area	San Francisco	3	2012-01-01	2013-03-18	2015-06-29	CRV	Business Productivity|Data Visualization|Mobile|Productivity Software|Software	7600000
Airtable	/organization/airtable	https://airtable.com/	Visualization|Mobile	10600000	operating	USA	CA	SF Bay Area	San Francisco	3	2012-01-01	2013-03-18	2015-06-29	Caffeinated Capital	Business Productivity|Data Visualization|Mobile|Productivity Software|Software	3000000
Airtable	/organization/airtable	https://airtable.com/	Visualization|Mobile	10600000	operating	USA	CA	SF Bay Area	San Francisco	3	2012-01-01	2013-03-18	2015-06-29	Caffeinated Capital	Business Productivity|Data Visualization|Mobile|Productivity Software|Software	7600000
Airtable	/organization/airtable	https://airtable.com/	Visualization|Mobile	10600000	operating	USA	CA	SF Bay Area	San Francisco	3	2012-01-01	2013-03-18	2015-06-29	CrunchFund	Business Productivity|Data Visualization|Mobile|Productivity Software|Software	3000000
Airtable	/organization/airtable	https://airtable.com/	Visualization|Mobile	10600000	operating	USA	CA	SF Bay Area	San Francisco	3	2012-01-01	2013-03-18	2015-06-29	CrunchFund	Business Productivity|Data Visualization|Mobile|Productivity Software|Software	7600000
Airtable	/organization/airtable	https://airtable.com/	Visualization|Mobile	10600000	operating	USA	CA	SF Bay Area	San Francisco	3	2012-01-01	2013-03-18	2015-06-29	Data Collective	Business Productivity|Data Visualization|Mobile|Productivity Software|Software	3000000
Airtable	/organization/airtable	https://airtable.com/	Visualization|Mobile	10600000	operating	USA	CA	SF Bay Area	San Francisco	3	2012-01-01	2013-03-18	2015-06-29	Eric Wu	Business Productivity|Data Visualization|Mobile|Productivity Software|Software	3000000
Airtable	/organization/airtable	https://airtable.com/	Visualization|Mobile	10600000	operating	USA	CA	SF Bay Area	San Francisco	3	2012-01-01	2013-03-18	2015-06-29	Founder Collective	Business Productivity|Data Visualization|Mobile|Productivity Software|Software	
Airtable	/organization/airtable	https://airtable.com/	Visualization|Mobile	10600000	operating	USA	CA	SF Bay Area	San Francisco	3	2012-01-01	2013-03-18	2015-06-29	Founder Collective	Business Productivity|Data Visualization|Mobile|Productivity Software|Software	7600000
Airtable	/organization/airtable	https://airtable.com/	Visualization|Mobile	10600000	operating	USA	CA	SF Bay Area	San Francisco	3	2012-01-01	2013-03-18	2015-06-29	Freestyle Capital	Business Productivity|Data Visualization|Mobile|Productivity Software|Software	3000000
Airtable	/organization/airtable	https://airtable.com/	Visualization|Mobile	10600000	operating	USA	CA	SF Bay Area	San Francisco	3	2012-01-01	2013-03-18	2015-06-29	Freestyle Capital	Business Productivity|Data Visualization|Mobile|Productivity Software|Software	7600000
Airtable	/organization/airtable	https://airtable.com/	Visualization|Mobile	10600000	operating	USA	CA	SF Bay Area	San Francisco	3	2012-01-01	2013-03-18	2015-06-29	Hammerstone Capital	Business Productivity|Data Visualization|Mobile|Productivity Software|Software	3000000
